,ts_code,name,market,symbol
653,002133.SZ,广宇集团,主板,002133
654,002134.SZ,天津普林,主板,002134
655,002135.SZ,东南网架,主板,002135
656,002136.SZ,安纳达,主板,002136
657,002137.SZ,实益达,主板,002137
658,002138.SZ,顺络电子,主板,002138
659,002139.SZ,拓邦股份,主板,002139
660,002140.SZ,东华科技,主板,002140
661,002141.SZ,贤丰控股,主板,002141
662,002142.SZ,宁波银行,主板,002142
663,002144.SZ,宏达高科,主板,002144
664,002145.SZ,中核钛白,主板,002145
665,002146.SZ,荣盛发展,主板,002146
666,002148.SZ,北纬科技,主板,002148
667,002149.SZ,西部材料,主板,002149
