code,date,close,high,low,max_price,rsi,rsi_var,trade_type,now_buy_sell,pre_middle_date,mid_step,common_buy_boll_days,common_sell_boll_days,sp_boll_days,principal,stock_num,add_flag,add_principal,delay_buy,low_rsi,win_stop
600073.SH,20220802,7.15,7.37,7.02,7.98,12.5267,-0.4381,0,-1,20220728,-1,1,0,-1,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220803,7.07,7.25,7.07,7.98,10.5902,-0.1546,0,-1,,0,1,0,-2,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220804,7.18,7.19,7.05,7.98,28.7613,1.7158,0,-1,,0,0,0,-3,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220805,7.24,7.25,7.15,7.98,37.1253,0.2908,0,-1,,0,0,0,0,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220808,7.23,7.29,7.17,7.98,36.2735,-0.0229,0,-1,,0,0,0,0,84887.68,1566.0,0,0.0,False,0,False
600073.SH,20220809,7.18,7.23,7.13,7.98,31.8844,-0.121,-2,-1,20220809,-1,0,0,0,90509.62,783.0,0,0.0,False,0,False
600073.SH,20220810,7.16,7.19,7.1,7.98,30.1342,-0.0549,0,-1,20220809,-1,0,0,0,90509.62,783.0,0,0.0,False,0,False
600073.SH,20220811,7.32,7.34,7.18,7.98,54.2452,0.8001,0,-1,20220809,-1,0,0,0,90509.62,783.0,0,0.0,False,0,False
600073.SH,20220812,7.32,7.36,7.27,7.98,54.2452,0.0,0,-1,20220809,-1,0,0,0,90509.62,783.0,0,0.0,False,0,False
600073.SH,20220815,7.35,7.37,7.27,7.98,58.1452,0.0719,0,-1,,0,0,0,0,90509.62,783.0,0,0.0,False,0,False
600073.SH,20220816,7.39,7.4,7.3,7.39,63.1682,0.0864,2,-1,20220816,1,0,0,0,5786.369999999995,1566.0,0,0.0,False,0,False
600073.SH,20220817,7.38,7.42,7.33,7.39,60.973,-0.0348,0,-1,20220816,1,0,0,0,5786.369999999995,1566.0,0,0.0,False,0,False
600073.SH,20220818,7.32,7.39,7.27,7.39,48.77,-0.2001,-2,-1,20220818,-2,0,0,0,11517.929999999997,783.0,0,0.0,False,0,False
600073.SH,20220819,7.36,7.42,7.3,7.39,55.8404,0.145,0,-1,20220818,-2,0,0,0,11517.929999999997,783.0,0,0.0,False,0,False
600073.SH,20220822,7.39,7.43,7.35,7.39,60.7195,0.0874,0,-1,20220818,-2,0,0,0,11517.929999999997,783.0,0,0.0,False,0,False
